step,midprice,bid,ask,inventory,cash,pnl,risk_adjusted_pnl,fills,adverse_selection_cost,incoming_order
181,99.89134467699796,99.78191029717595,99.99191029717596,-2,201.9176670768644,2.1349777228684843,2.1329777228684845,26,0.28943174505795977,
182,99.86774770374484,99.81634467699796,100.02634467699797,-2,201.9176670768644,2.182171669374725,2.180171669374725,26,0.28943174505795977,sell
183,99.8601463766764,99.79274770374484,100.00274770374484,-2,201.9176670768644,2.1973743235116103,2.1953743235116105,26,0.28943174505795977,
184,99.866248023895,99.7851463766764,99.9951463766764,-2,201.9176670768644,2.185171029074411,2.183171029074411,26,0.28943174505795977,buy
185,99.88294402717753,99.791248023895,100.001248023895,-2,201.9176670768644,2.151779022509345,2.149779022509345,26,0.28943174505795977,
186,99.94399622625946,99.80794402717753,100.01794402717753,-2,201.9176670768644,2.029674624345489,2.0276746243454893,26,0.28943174505795977,
187,99.93478372970942,99.86899622625945,100.07899622625946,-2,201.9176670768644,2.0480996174455584,2.0460996174455586,26,0.28943174505795977,
188,99.90381584959209,99.85978372970942,100.06978372970943,-1,102.05588334715499,2.1520674975628964,2.1515674975628962,27,0.32039962517529486,sell
189,99.90169543814253,99.81381584959209,100.0238158495921,-1,102.05588334715499,2.154187909012464,2.1536879090124637,27,0.32039962517529486,
190,99.90322969989909,99.81169543814252,100.02169543814253,-2,202.07557878529752,2.2691193854993514,2.2671193854993517,28,0.3219338869318597,buy
191,99.88364221555915,99.82822969989908,100.03822969989909,-2,202.07557878529752,2.3082943541792247,2.306294354179225,28,0.3219338869318597,
192,99.88928142318373,99.80864221555915,100.01864221555915,-2,202.07557878529752,2.297015938930059,2.2950159389300593,28,0.3219338869318597,
193,99.8872420155042,99.81428142318373,100.02428142318374,-2,202.07557878529752,2.3010947542891245,2.2990947542891247,28,0.3219338869318597,sell
194,99.92732759850456,99.8122420155042,100.0222420155042,-2,202.07557878529752,2.2209235882884,2.2189235882884004,28,0.3219338869318597,
195,99.91975207847547,99.85232759850456,100.06232759850457,-2,202.07557878529752,2.2360746283465858,2.234074628346586,28,0.3219338869318597,
196,99.84745441950147,99.84475207847547,100.05475207847547,-2,202.07557878529752,2.3806699462945744,2.3786699462945746,28,0.3219338869318597,
197,99.83864105189691,99.77245441950147,99.98245441950148,-2,202.07557878529752,2.3982966815036946,2.396296681503695,28,0.3219338869318597,
198,99.86007294637584,99.76364105189691,99.97364105189692,-2,202.07557878529752,2.355432892545849,2.3534328925458494,28,0.3219338869318597,
199,99.82477450479296,99.78507294637583,99.99507294637584,-2,202.07557878529752,2.426029775711612,2.4240297757116123,28,0.3219338869318597,
200,99.83183795584225,99.74977450479295,99.95977450479296,-2,202.07557878529752,2.4119028736130304,2.4099028736130306,28,0.3219338869318597,
201,99.79516672646605,99.75683795584224,99.96683795584225,-1,102.31674082945528,2.5215741029892342,2.521074102989234,29,0.3586051163080568,sell
